Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Petras                   Antanaitis                        6         8         1         4         6         9         2         2         9         7         2         4         8         7         3         7
Marija                   Kazlauskas                        5         1         7        10         5         7         3         1         1        10         9         3         5         4         3         5
Tomas                    Paulauskas                        7         9         6         3         5         6         1         3         8         5         3         4         6         9         2         1
Greta                    Petraitis                         7        10        10         7         5         4         1         2         4         3         9        10         7         4         6         4
Mindaugas                Jankauskas                        7         6         4         6         9         7         4         7        10         2         9         2         8         3         5         7
Ruta                     Paulauskas                        1         5         1         8         2         9         8         1        10         6         6         5         2         5         2         9
Tomas                    Antanaitis                        9         1         8         8         2        10         3         2         9         6         2         9         6         1         4         3
Marija                   Paulauskas                        7         1         8         7         8         8         8        10         2         1         8         9         2         6         6         7
Marija                   Baranauskas                       3         5         1         3         1         1         2         7        10         9         6         1         2         8         9         9
Greta                    Jonaitis                          5         4         6         5         3         1         1         6         4         5         8         6         7        10         7         6
Antanas                  Jonaitis                          7         6         4         4         1         8         8         4         6         4         8         6         4         5         1         8
Mindaugas                Petraitis                         4         5        10         1         8         5         2         8         2         7         5         6         7         2         1         6
Jonas                    Antanaitis                        4         4         6         7         4        10         1         3         5         4         9         5         5         7         1         1
Mindaugas                Jankauskas                        2         5         5         2         7         5         8         3        10         3         1         7         6        10         9         3
Mindaugas                Zukauskas                         2         5         5         3         6         8         5         8         2         2         1        10         6         8         3         4
Ona                      Baranauskas                       9         5         2         8         1         5         7         4         1         3         6         7         2         3         6         3
Marija                   Jankauskas                        3         2         4         7         6         3         8         4         9        10         4        10         4         2         3         6
Marija                   Jankauskas                       10         6         8         3         2         6         9         6         3         4         4         2         7         5         5         1
Greta                    Baranauskas                       3         7         5         9         8         6         4         9         1         3         4         4         8         4         1         1
Greta                    Paulauskas                        2         9         2         3         4         2         5         2         8         6         9         3         1        10         5         5
Antanas                  Antanaitis                        5         4         9         6         2         6         5         1         7         4         4         9         9         5         5         9
Jonas                    Petraitis                         9         8         3         6         1         3         1         2         8         5         5         4        10         8         4        10
Jonas                    Zukauskas                         7         2         7        10         2         4         1         2         1         3         7         1         5         7         5         9
Ona                      Kazlauskas                        3         4         3         6        10         6         5         9         9        10         9        10        10         3         7         1
Petras                   Baranauskas                       5         8         6         1         1         1        10         2         6         3         6         1         2         3         7         5
Petras                   Jonaitis                          7         8         6         1         5         3         3         7         4         2         1         9         6         6         1         6
Ruta                     Vasiliauskas                      4         9        10         1         1         6         8         6         8         4         1        10         3         4         2        10
Antanas                  Kazlauskas                        8         9         2         4         3         5         4         6         8         4         5        10         5        10         8         9
Petras                   Paulauskas                        4         2         6         4         3         9         7         9         4         2         8         8         8         8         4         3
Ruta                     Paulauskas                        5         2         1         4        10         8        10         4         1         5         9         6         5         7         4         7
Mindaugas                Baranauskas                       7        10         7         1         4         7         4         3         6         5         8         7         9         7         2         2
Antanas                  Zukauskas                         8         4        10        10         1        10         6         2         9         8         5         5         3        10         3         5
Tomas                    Paulauskas                        6         5         2         5         9         2         7         1         1         4         2         9         2         9         6         9
Marija                   Stankevicius                     10        10         4         2         3         1         2        10         6         5         5         6         6         3         6         8
Ruta                     Jankauskas                        5         5        10         2         3        10        10         4         9         6         5         3         6         6         4         9
Jonas                    Antanaitis                        8         2         9         6         8         4         8         4         9         4         5         2         9         4         2        10
Petras                   Kazlauskas                        2         5         5         9         6         3         5         5         7         4         8         7        10         2        10         7
Mindaugas                Paulauskas                        9        10        10        10         5         1         6        10         2         1         2         8         6        10         1         1
Ona                      Stankevicius                      5         1         8         3         5        10         2         5         2         1         6         6         4         2         7        10
Ona                      Petraitis                        10         4         2         9         4         6         8         3         2        10         3         5         4         4         6         1
Mindaugas                Zukauskas                         8         8         9         9         7         1         2         2        10         7         3         8         1        10         7         9
Ona                      Petraitis                         4         1         6         1        10         4         1         8         4         5         9         5         1         3         2         7
Antanas                  Antanaitis                        5         1         3         5         6         6         7         2         6         4         7        10         5         4         3         1
Tomas                    Zukauskas                         6         1         9         1         9         3        10         4         6         2        10         3         7         8         4         7
Antanas                  Petraitis                         7         9        10         2         1         3         8         3         2        10         4         6         9         9         1         3
Greta                    Baranauskas                       6         6         8         4         1        10         8         7        10         9         9        10         2         8         5         4
Ona                      Vasiliauskas                      4         9         4         1         8         9         2         9         8        10         8         6        10        10         7         8
Ruta                     Kazlauskas                       10         7         3         8         6        10         2         3         8         7         3         3         8         1         1         3
Jonas                    Vasiliauskas                      4         2         3         6         1         7        10         5         8         8         9         5         3         9         8         8
Mindaugas                Jankauskas                        9         5         1         3         8         8         6        10         2         4        10         8         5         6         5         5
Antanas                  Zukauskas                         8         9         9         6         3         1         8         3         8         6         4         1         9         3         8         9
Antanas                  Baranauskas                       9         7         5         6         5        10         3         4         8         3         1         2         4         9         4         4
Antanas                  Jankauskas                        3         7         7         6         1         2         6         5         2         2         9        10         9        10         4         9
Marija                   Vasiliauskas                      9         7         7         3         6         1         1         4         6         3         7         3         7         1         5         6
Tomas                    Baranauskas                       4         6         1         8         3         6         9         8         6         7         4         8         3         4         1         5
Mindaugas                Petraitis                         6         9         9         1         4         9         1         6         6         1         4         1         8         9         1         3
Petras                   Zukauskas                         3         3         2         8        10         7         7         5         5         6         6         9         6         6         6         1
Petras                   Jankauskas                        9         1         5         4         4         9         7         3         9         3         2         3        10         9        10         1
Greta                    Kazlauskas                        9         9         9         2         5         4         8         3         8         6         5         2         9        10         1         7
Mindaugas                Antanaitis                        5        10         7         3         7         4         7         4         2         8         2         5         4         7         2         1
Jurate                   Kazlauskas                        7         4         9         8         7         4         9        10        10         8         8         2         4         1         1         9
Ruta                     Kazlauskas                        3         7         6         2         8         4        10         1         3         7         9         8         7        10         7         8
Ona                      Stankevicius                      9        10         2         9         8         5         8         6         7         7         3        10         4         9         9        10
Ona                      Antanaitis                        7        10         2         5         9         5         6         6        10         3         4         8         9         8         8         8
Ona                      Jankauskas                        8        10         3         9         1         9         8         4         5         7         1        10         4        10         5         8
Tomas                    Vasiliauskas                      6         9        10        10         4         8        10         2         6         8         4         8         8         6         8         3
Jurate                   Jonaitis                         10         6         9         1         1         7         2         3         2         2         2         4         7         1         9         2
Marija                   Vasiliauskas                      8         2        10         8         2         9         4         2         2         6        10         3         8         2         4         6
Petras                   Paulauskas                        7         3         7         3         7         4         1         1         3         8         4         4         3         5         5         2
Ruta                     Kazlauskas                       10        10         1         9         7         3         7         1         2        10         1         2         5         1         5         9
Mindaugas                Antanaitis                        5         7         2         1         8         6         3         7         6         1         5         1         9         6         2         1
Jonas                    Stankevicius                      6         2         1        10         8         6         7         1         8         6         8        10         2         3         2         5
Ruta                     Antanaitis                        2         7        10         3         8         9         2         5         7         2         4         2         9         4         6         3
Marija                   Paulauskas                        5         5         1         9         7         4         9        10         5         6         9         8         3        10         9         6
Ruta                     Stankevicius                      2         4         1         3        10         7         3         1         5         9         9         5         3         4         3         3
Petras                   Jankauskas                        7         6         4         9         9         6         3         8         2         7        10         7         5         9         1         4
Mindaugas                Petraitis                         3         4         7         2         8         6         6        10         4         2         5         7        10         3         2         5
Petras                   Petraitis                         2         3        10         1         2         2         3         7         5        10         8         2         5         3         1         5
Mindaugas                Zukauskas                         6        10         4         9         9         4        10        10         8         6         6         7         6         7         3         5
Mindaugas                Paulauskas                        5         7         3         8         4         9         5         5         5         4         8         3         5         3         4        10
Jurate                   Jonaitis                          9        10         9         2         4         7         6         3         2         4         7         8         8         3         6         2
Petras                   Paulauskas                        4         1         9         3         1         2         9         7         7         1         8         1        10         6        10        10
Petras                   Antanaitis                        7         6         6         1        10         7         2        10        10         5        10         3         5         2         1         2
Petras                   Stankevicius                      2         4         1         5         9         7         2         4         9         1        10        10         2         9         4         3
Jonas                    Antanaitis                        9         4         7         4         4         3         2         2         4         7        10         6         8        10         7         9
Ruta                     Zukauskas                         9         8         6         9         2         3         5         7         5         8         9         1         5         8         6        10
Petras                   Vasiliauskas                      8        10         2         9         6         4         9         3        10         7         6         4         1         3        10         5
Jonas                    Antanaitis                        7         2         3         6         3         4         6         8         9         4         3         8         1         8         1        10
Antanas                  Baranauskas                       9         6         2         8         3        10         1         1         4         5         9         6         8         4         6         1
Jurate                   Stankevicius                      7         2         5         2         6         4         4         5         4         7         8         8         5         6         7         8
Mindaugas                Jonaitis                          8         9         8         6         9         6         8         2         4         4         5         9         8        10         2         5
Antanas                  Zukauskas                         3         1        10         7        10         3         3         8         1         2         5         1         9         4         2         8
Marija                   Stankevicius                      2         5         8         6         1         2         6         6         4         7         7         3         8         9         7         7
Tomas                    Petraitis                         2         9         5         6         6         2         6         7         7         4         3         3         2         5         1        10
Antanas                  Jonaitis                          5         4         1         8         7         5         8        10         6         8         4         1         5         5         9         7
Jonas                    Jonaitis                          2         1         8         8         4         9         5         3         5         4         2         3         1         7         3         2
Tomas                    Jonaitis                          3         7         3         3        10         3         2         7         8         2         3        10         7         9         3         3
Ruta                     Jonaitis                          3        10         3         3         2         6         4         7         4         6         1         3        10         2         1         9
Tomas                    Kazlauskas                        2         4         1         2         1         7         7         4         6        10         8        10         7         1         6         3
Petras                   Stankevicius                      4        10         4         5         3         6         8         6         9         4         6         3         4         4         9         6
Ruta                     Vasiliauskas                      5         9         9         2         4         5         1         1        10         4         1         3         1         5         9        10
Mindaugas                Baranauskas                       1         5        10         9         6         4         7         4         6         3         8         8         3         8         1         9
Ona                      Petraitis                         2         8         7         5         4         6         3         9         1         1         4         8         3         4         5         3
Jurate                   Antanaitis                        2        10         8         5         8         8         5         6         2         4         2         6         8         9         8         6
Jurate                   Petraitis                        10        10         3         7         2         3         4         8         2         4         2         7         5         6         1        10
Greta                    Antanaitis                        4         7         4         5         3         6         8         5         5        10         3         8         4         9         5         9
Tomas                    Petraitis                         8         4         9         9         6         8         2         8         2         8         1         8         3         6         7         7
Ruta                     Petraitis                         4         1         2         2         4         9         7         9         7         4         4         5         5         9         5         9
Jurate                   Jankauskas                        5         4         5         7         2         6         8         3         6         1         3         8         5         8         6         8
Antanas                  Jankauskas                        8         8         4         2         7         1         9         2         4         5        10         7        10         7         9         5
Mindaugas                Vasiliauskas                     10         3         7         7        10         3        10         9         5        10         2        10         5         1         6         4
Jurate                   Vasiliauskas                      2         4         3         1         4         2         8         7         2         7         9         1         5         1         3         6
Marija                   Vasiliauskas                      4         6         9         4         9         2         8         1         7        10         8         3         1         4         1         7
Jonas                    Stankevicius                      2         2        10         5        10        10         1        10         1         8         1         9         9         8         3         3
Petras                   Kazlauskas                        1         9         4         2         1         8         3         7         9         2         7        10         4         7        10         5
Marija                   Zukauskas                        10        10         2         1         4         6         1         3         8         9         3         2         8         4         5        10
Marija                   Jankauskas                        8         9         4         7         1         3         1         1         8         6         3         2         3         1         4         9
Marija                   Stankevicius                      3         9         6         2         9         2        10         5         8         7         6         1         3         6         4         8
Antanas                  Jankauskas                       10         2         1        10         6         9         6         7         9         9         6         4         8         2         9         1
Ruta                     Paulauskas                       10         8         5         9         6         4         8         4         4        10         5         5         5         5         2         6
Marija                   Kazlauskas                        6         6         1         7         6         5         7         3         9         7         6         4         8        10         8         2
Marija                   Zukauskas                         1         3         8         6         1         9         4         6         5        10         8         3         8         3         8         2
Ona                      Zukauskas                         2         7        10         2        10        10         9         2         8         2         7         4         3         6         9         8
Jonas                    Baranauskas                       9         8         4         2         6         5         3         5         4         3         8         3         6         6         7         6
Jonas                    Jonaitis                          4         2         7         3         6        10         5         5         9        10         6         5         5         1         1         5
Greta                    Zukauskas                         3         8         8         6         9         5        10         7         6         5         3         5         6         8         9         9
Petras                   Baranauskas                       3         1         7         2         1         3         3         5         2         9        10         8         1         6         6         1
Greta                    Jankauskas                        6         7         7        10         1        10         6         3        10         8         7         6         2         5         7         7
Ruta                     Zukauskas                         1        10         6        10         7         7        10         8         3         4         7         2         2         4         5         3
Jurate                   Baranauskas                       2         9         9         4        10         8         2         9         6         8        10         3         2         6         1         6
Jurate                   Paulauskas                        9         6         5         4        10         3         7         8         4         5         8         9         6         6        10         4
Jurate                   Jonaitis                          4         1         3         1         5         9         1         7         5        10         2         1         8         1         7         8
Ona                      Baranauskas                      10         7         2         9         4         4         5         8         4         9        10         1         7        10         9         2
Antanas                  Petraitis                         4         6         6         2         7         6         6         1        10         5         6        10         4         8         9         1
Jurate                   Vasiliauskas                     10         7         5         5         2        10         7         9         5         2         1         6         8         8         8         1
Antanas                  Stankevicius                      6         5         5         5         5         3         1         1         7         1         7         7         7        10         9         6
Ona                      Vasiliauskas                      9         2         6         3        10         3         9         4         9         4         4         9        10         6         6         8
Mindaugas                Zukauskas                         1         1         3        10         2         5         7         4         4         9         2         9         7         7         4         5
Jurate                   Jankauskas                        3         6         4        10         7         6        10         9         7         1         5         4         6         8         4         2
Greta                    Stankevicius                     10         4         8         5         6         2         7         1         5         6         9         2         7         8         1         1
Greta                    Petraitis                         4         7         8         3         2         9         9         9         3         4         2         9         6         6         6         4
Ona                      Baranauskas                       7         2         1        10         5         7        10        10        10         8         8         1         3         3         2         5
Antanas                  Stankevicius                      9         6         8         7         7         8         9         4         4         8         5         6         7         2         6        10
Ruta                     Kazlauskas                        6         6         3         5         5         6        10         5         7         8         3         3         4         2         1         7
Ruta                     Stankevicius                      2         9         2         9         4         6         6        10         2         5         5         8         2         9         2        10
Mindaugas                Baranauskas                      10         6        10         7         7         6         4        10         9         5         3         9        10         8         4         5
Greta                    Vasiliauskas                      9         8         1         4         8         7        10         5         2         1         3         8         3         1         8         1
Jonas                    Paulauskas                        7         7         9         2         7         7        10         7        10         9         5         2         3         7         2         9
Tomas                    Kazlauskas                        7         1         8         8         1         5         6         1         8         3         7         7         9         8         7         5
Marija                   Vasiliauskas                      4        10         3         8         2         9         1        10         8         1         7         5         3         1         3         9
Ona                      Vasiliauskas                      1         4         3         3         9        10         1         4         1         3         3         4         3         3         3         5
Greta                    Zukauskas                         5         7         1         1         9         4         3         9         9         5         3         7         6         3         2         2
Jurate                   Paulauskas                        8         5         9         6         9         7         3        10         3         9         2         3         7         7         7         7
Tomas                    Jankauskas                        6         7         3         2         8         4         2         1         6         9         8         4         7         8        10         2
Ruta                     Paulauskas                        7         5         6         2         8         7         6         6         3         1         4         6         4         1         9         4
Tomas                    Kazlauskas                        6         1         4         8        10         1         5         4         7         6         3         5         1         1         7         4
Antanas                  Kazlauskas                       10         2         8         2         5         6         4         6        10         7         2         7         2         6         8         2
Petras                   Kazlauskas                        6         1         3         8         4         1         1         8         6         4         3         7         3         6         3         2
Jurate                   Antanaitis                        6         7         5        10        10         3         2         2         2         5         4         2         4         9         8        10
Tomas                    Zukauskas                         5         5         2         7        10         4         2         1         9         1         6        10        10         8         3         2
Antanas                  Jonaitis                          1         9         2         4         4         1        10         2         1         6         8         3         3         7         8         9
Jurate                   Stankevicius                      4         3         4         7         5        10        10         5         1         3         9         3         5        10         4         9
Greta                    Stankevicius                      2        10         9         1         3         1         6        10         8         5         9         2         8         3        10         8
Greta                    Paulauskas                        9         3         8         7         1         1         7         9         3         9         2         8        10         9         4         2
Mindaugas                Petraitis                         5         7         9         5         9         1         2         7         3         2         1         2         9         2         4         1
Ona                      Petraitis                        10         1         7         4         8         7        10         8         9         3         6         2         5         8         5         6
Antanas                  Jonaitis                          1         6         7         5         4         5         2         5         8        10        10         7         7         9         4         9
Ona                      Jonaitis                          5        10         4         2         6        10         5         3         4         1         2         5        10         8         3         1
Mindaugas                Antanaitis                        2         3         8         2         7         8         8         7         1         5         6         7         6         4         8         8
Antanas                  Stankevicius                      7         4         4         6         3         7         8         2         1         5         9         8         3        10         2         1
Greta                    Stankevicius                      2         3        10         9         2         4        10         9         7         3         4         1        10         3         2        10
Greta                    Paulauskas                        7         2         2         8         4         2         7         6         7         6         6         3         1         1         6         1
Petras                   Antanaitis                        5         2        10         6         7         5         2         3         6         4         2         2         7         8         7         7
Antanas                  Jankauskas                        9         7         3         3         7         8         6         8         5         2         2         7         6        10         2         4
Mindaugas                Jonaitis                          4        10         9         5         8         4         7         6         3         2         4         7         6         7         5         8
Antanas                  Jankauskas                        5         6         3         1         7         3         7         8         4         1         5         7         7         3         9         6
Greta                    Stankevicius                     10         7         1         7         2         1         1         9         5         7         4         9        10        10         1         5
Jurate                   Paulauskas                       10        10         8         9         9         4         1         8         7         2        10         6         8         6         9         4
Jurate                   Paulauskas                        4         9         7         7         3         3         6         3         2         6         3         7         6        10         4         9
Ruta                     Jonaitis                          9         6         6         9         7         2         3         8         8         9        10         2         6         4         5         9
Antanas                  Vasiliauskas                      4         3         3         1        10         2         7         1         6         4         1         6         6         4         1         2
Ruta                     Vasiliauskas                      6         8         1         9        10         4         9         1         7         8         3         2         3         3         7         5
Mindaugas                Vasiliauskas                      8         5         6         5         1         3         4         4         2         3         7         2         3         3         9         9
Tomas                    Jankauskas                        6         3        10         1        10         4         3         2         7         6         5         1         4         7         5         2
Jurate                   Zukauskas                         2         9         7         8         3         6        10         2         2         4         3        10         2         8         3         2
Ona                      Jankauskas                        2         1         5         6         1         3         5         3         8         6         4         1         9         9         1         9
Petras                   Jankauskas                        4         7         2         8         9         6         3        10         8         7         2         7         2         6         8         3
Petras                   Jankauskas                        4         4         6         8        10         1         6         1         4         4         2         1         2         9         3         8
Jonas                    Jankauskas                        1         7         3         4         1         7         7         8         4         8         8         1         8         2         4         1
Ruta                     Petraitis                         8         1         2         8         9         4         3         9        10         1         9         6         8         8         6         8
